YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
1991,Sweet 16,1,UNLV,83,4,Utah,66,Not Upset,0,UNLV,1,4,83,66,17,1,4
1990,First Round,7,Alabama,71,10,Colorado State,54,Not Upset,0,Alabama,7,10,71,54,17,7,10
1989,Sweet 16,11,Minnesota,70,2,Duke,87,Not Upset,0,Duke,2,11,87,70,17,2,11
1987,First Round,2,Alabama,88,15,North Carolina A&T,71,Not Upset,0,Alabama,2,15,88,71,17,2,15
1987,Second Round,1,Indiana,107,8,Auburn,90,Not Upset,0,Indiana,1,8,107,90,17,1,8
1986,First Round,5,Alabama,97,12,Xavier,80,Not Upset,0,Alabama,5,12,97,80,17,5,12
2013,Second Round,12,Oregon,74,4,St. Louis,57,Upset,1,Oregon,12,4,74,57,17,4,12
1985,Second Round,1,Georgetown,63,8,Temple,46,Not Upset,0,Georgetown,1,8,63,46,17,1,8
1985,First Round,5,Southern Methodist,85,12,Old Dominion,68,Not Upset,0,Southern Methodist,5,12,85,68,17,5,12
1985,Second Round,7,Syracuse,53,2,Georgia Tech,70,Not Upset,0,Georgia Tech,2,7,70,53,17,2,7
2019,First Round,7,Wofford,84,10,Seton Hall,68,Not Upset,0,Wofford,7,10,84,68,16,7,10
2011,Sweet 16,1,Duke,77,5,Arizona,93,Upset,1,Arizona,5,1,93,77,16,1,5
2018,First Round,1,Kansas,76,16,Penn,60,Not Upset,0,Kansas,1,16,76,60,16,1,16
2018,Final Four,1,Villanova,95,1,Kansas,79,Not Upset,0,Villanova,1,1,95,79,16,1,1
2003,Elite Eight,1,Oklahoma,47,3,Syracuse,63,Upset,1,Syracuse,3,1,63,47,16,1,3
2017,First Round,3,Oregon,93,14,Iona,77,Not Upset,0,Oregon,3,14,93,77,16,3,14
2016,Sweet 16,1,Kansas,79,5,Maryland,63,Not Upset,0,Kansas,1,5,79,63,16,1,5
2016,First Round,1,North Carolina,83,16,Florida Gulf Coast,67,Not Upset,0,North Carolina,1,16,83,67,16,1,16
1986,Second Round,1,St. John's,65,8,Auburn,81,Upset,1,Auburn,8,1,81,65,16,1,8
2014,Second Round,1,Florida,61,9,Pittsburgh,45,Not Upset,0,Florida,1,9,61,45,16,1,9
2006,National Championship,2,UCLA,57,3,Florida,73,Upset,1,Florida,3,2,73,57,16,2,3
2013,Second Round,7,Creighton,50,2,Duke,66,Not Upset,0,Duke,2,7,66,50,16,2,7
2012,Second Round,1,Kentucky,87,8,Iowa State,71,Not Upset,0,Kentucky,1,8,87,71,16,1,8
2012,Second Round,1,Syracuse,75,8,Kansas State,59,Not Upset,0,Syracuse,1,8,75,59,16,1,8
2013,Elite Eight,4,Syracuse,55,3,Marquette,39,Upset,1,Syracuse,4,3,55,39,16,3,4
2010,First Round,1,Kansas,90,16,Lehigh,74,Not Upset,0,Kansas,1,16,90,74,16,1,16
2010,First Round,5,Texas A&M,69,12,Utah State,53,Not Upset,0,Texas A&M,5,12,69,53,16,5,12
2007,Second Round,7,Nevada,62,2,Memphis,78,Not Upset,0,Memphis,2,7,78,62,16,2,7
2007,Elite Eight,1,Ohio State,92,2,Memphis,76,Not Upset,0,Ohio State,1,2,92,76,16,1,2
2007,First Round,3,Texas A&M,68,14,Penn,52,Not Upset,0,Texas A&M,3,14,68,52,16,3,14
2007,First Round,3,Washington State,70,14,Oral Roberts,54,Not Upset,0,Washington State,3,14,70,54,16,3,14
2006,First Round,1,Duke,70,16,Southern,54,Not Upset,0,Duke,1,16,70,54,16,1,16
2006,First Round,4,LSU,80,13,Iona,64,Not Upset,0,LSU,4,13,80,64,16,4,13
2006,Sweet 16,1,Memphis,80,13,Bradley,64,Not Upset,0,Memphis,1,13,80,64,16,1,13
2006,Second Round,1,Memphis,72,9,Bucknell,56,Not Upset,0,Memphis,1,9,72,56,16,1,9
2006,First Round,1,Memphis,94,16,Oral Roberts,78,Not Upset,0,Memphis,1,16,94,78,16,1,16
2005,Final Four,1,North Carolina,87,5,Michigan State,71,Not Upset,0,North Carolina,1,5,87,71,16,1,5
2005,First Round,2,Wake Forest,70,15,Chattanooga,54,Not Upset,0,Wake Forest,2,15,70,54,16,2,15
2004,Elite Eight,8,Alabama,71,2,Connecticut,87,Not Upset,0,Connecticut,2,8,87,71,16,2,8
2004,First Round,7,Memphis,59,10,South Carolina,43,Not Upset,0,Memphis,7,10,59,43,16,7,10
2016,First Round,6,Seton Hall,52,11,Gonzaga,68,Upset,1,Gonzaga,11,6,68,52,16,6,11
2002,First Round,8,Stanford,84,9,Western Kentucky,68,Not Upset,0,Stanford,8,9,84,68,16,8,9
2001,Sweet 16,1,Illinois,80,4,Kansas,64,Not Upset,0,Illinois,1,4,80,64,16,1,4
2001,Second Round,1,Michigan State,81,9,Fresno State,65,Not Upset,0,Michigan State,1,9,81,65,16,1,9
2000,First Round,5,Texas,77,12,Indiana State,61,Not Upset,0,Texas,5,12,77,61,16,5,12
1996,Sweet 16,1,Massachusetts,79,12,Arkansas,63,Not Upset,0,Massachusetts,1,12,79,63,16,1,12
2001,First Round,7,Wake Forest,63,10,Butler,79,Upset,1,Butler,10,7,79,63,16,7,10
1992,Second Round,10,Tulane,71,2,Oklahoma State,87,Not Upset,0,Oklahoma State,2,10,87,71,16,2,10
1992,Second Round,1,UCLA,85,8,Louisville,69,Not Upset,0,UCLA,1,8,85,69,16,1,8
1991,Second Round,11,Connecticut,66,14,Xavier,50,Not Upset,0,Connecticut,11,14,66,50,16,11,14
1990,First Round,4,Georgia Tech,99,13,East Tennessee State,83,Not Upset,0,Georgia Tech,4,13,99,83,16,4,13
1990,First Round,4,La Salle,79,13,Southern Mississippi,63,Not Upset,0,La Salle,4,13,79,63,16,4,13
1990,First Round,6,St. John's,81,11,Temple,65,Not Upset,0,St. John's,6,11,81,65,16,6,11
1989,First Round,3,Missouri,85,14,Creighton,69,Not Upset,0,Missouri,3,14,85,69,16,3,14
1989,First Round,8,Vanderbilt,65,9,Notre Dame,81,Upset,1,Notre Dame,9,8,81,65,16,8,9
1989,Second Round,5,Virginia,104,13,Middle Tennessee State,88,Not Upset,0,Virginia,5,13,104,88,16,5,13
1989,First Round,7,West Virginia,84,10,Tennessee,68,Not Upset,0,West Virginia,7,10,84,68,16,7,10
1988,First Round,2,Duke,85,15,Boston University,69,Not Upset,0,Duke,2,15,85,69,16,2,15
2018,Elite Eight,9,Kansas State,62,11,Loyola (Ill.),78,Upset,1,Loyola (Ill.),11,9,78,62,16,9,11
1988,First Round,8,Seton Hall,80,9,UTEP,64,Not Upset,0,Seton Hall,8,9,80,64,16,8,9
1987,First Round,4,TCU,76,13,Marshall,60,Not Upset,0,TCU,4,13,76,60,16,4,13
1985,Second Round,6,Georgia,58,3,Illinois,74,Not Upset,0,Illinois,3,6,74,58,16,3,6
2002,Second Round,12,Missouri,83,4,Ohio State,67,Upset,1,Missouri,12,4,83,67,16,4,12
1985,Sweet 16,1,St. John's,86,12,Kentucky,70,Not Upset,0,St. John's,1,12,86,70,16,1,12
1985,First Round,2,Virginia Commonwealth,81,15,Marshall,65,Not Upset,0,Virginia Commonwealth,2,15,81,65,16,2,15
2019,Second Round,3,Houston,74,11,Ohio State,59,Not Upset,0,Houston,3,11,74,59,15,3,11
2019,Second Round,2,Michigan,64,10,Florida,49,Not Upset,0,Michigan,2,10,64,49,15,2,10
2019,First Round,1,North Carolina,88,16,Iona,73,Not Upset,0,North Carolina,1,16,88,73,15,1,16
2019,First Round,3,Texas Tech,72,14,Northern Kentucky,57,Not Upset,0,Texas Tech,3,14,72,57,15,3,14
2019,First Round,1,Virginia,71,16,Gardner-Webb,56,Not Upset,0,Virginia,1,16,71,56,15,1,16
2018,First Round,2,Cincinnati,68,15,Georgia State,53,Not Upset,0,Cincinnati,2,15,68,53,15,2,15
2018,First Round,6,Florida,77,11,St. Bonaventure,62,Not Upset,0,Florida,6,11,77,62,15,6,11
2017,First Round,4,Florida,80,13,East Tennessee State,65,Not Upset,0,Florida,4,13,80,65,15,4,13
2017,First Round,2,Louisville,78,15,Jacksonville State,63,Not Upset,0,Louisville,2,15,78,63,15,2,15
2016,Sweet 16,1,North Carolina,101,5,Indiana,86,Not Upset,0,North Carolina,1,5,101,86,15,1,5
2015,Second Round,10,Ohio State,58,2,Arizona,73,Not Upset,0,Arizona,2,10,73,58,15,2,10
1987,Elite Eight,1,Georgetown,73,6,Providence,88,Upset,1,Providence,6,1,88,73,15,1,6
2014,First Round,4,Michigan State,93,13,Delaware,78,Not Upset,0,Michigan State,4,13,93,78,15,4,13
2014,Play-In,12,North Carolina State,74,12,Xavier,59,Not Upset,0,North Carolina State,12,12,74,59,15,12,12
2014,Second Round,5,St. Louis,51,4,Louisville,66,Not Upset,0,Louisville,4,5,66,51,15,4,5
2013,First Round,4,Michigan,71,13,South Dakota State,56,Not Upset,0,Michigan,4,13,71,56,15,4,13
2013,First Round,7,San Diego State,70,10,Oklahoma,55,Not Upset,0,San Diego State,7,10,70,55,15,7,10
2012,Sweet 16,6,Cincinnati,66,2,Ohio State,81,Not Upset,0,Ohio State,2,6,81,66,15,2,6
2012,First Round,3,Georgetown,74,14,Belmont,59,Not Upset,0,Georgetown,3,14,74,59,15,3,14
2012,First Round,2,Kansas,65,15,Detroit,50,Not Upset,0,Kansas,2,15,65,50,15,2,15
2012,First Round,1,Kentucky,81,16,Western Kentucky,66,Not Upset,0,Kentucky,1,16,81,66,15,1,16
2011,First Round,6,Cincinnati,78,11,Missouri,63,Not Upset,0,Cincinnati,6,11,78,63,15,6,11
2011,First Round,2,North Carolina,102,15,Long Island,87,Not Upset,0,North Carolina,2,15,102,87,15,2,15
2010,First Round,8,California,77,9,Louisville,62,Not Upset,0,California,8,9,77,62,15,8,9
2010,Second Round,1,Duke,68,8,California,53,Not Upset,0,Duke,1,8,68,53,15,1,8
2009,First Round,4,Wake Forest,69,13,Cleveland State,84,Upset,1,Cleveland State,13,4,84,69,15,4,13
2010,Second Round,6,Tennessee,83,14,Ohio,68,Not Upset,0,Tennessee,6,14,83,68,15,6,14
1993,First Round,4,Georgia Tech,78,13,Southern,93,Upset,1,Southern,13,4,93,78,15,4,13
2009,First Round,2,Michigan State,77,15,Robert Morris,62,Not Upset,0,Michigan State,2,15,77,62,15,2,15
2009,Play-In,16,Morehead State,58,16,Alabama State,43,Not Upset,0,Morehead State,16,16,58,43,15,16,16
2009,First Round,3,Syracuse,59,14,Stephen F. Austin,44,Not Upset,0,Syracuse,3,14,59,44,15,3,14
2008,Sweet 16,1,Kansas,72,12,Villanova,57,Not Upset,0,Kansas,1,12,72,57,15,1,12
2008,Final Four,1,Memphis,78,1,UCLA,63,Not Upset,0,Memphis,1,1,78,63,15,1,1
2008,First Round,2,Tennessee,72,15,American,57,Not Upset,0,Tennessee,2,15,72,57,15,2,15
2008,First Round,3,Wisconsin,71,14,Cal State Fullerton,56,Not Upset,0,Wisconsin,3,14,71,56,15,3,14
2007,First Round,2,Memphis,73,15,North Texas,58,Not Upset,0,Memphis,2,15,73,58,15,2,15
2007,Second Round,5,Virginia Tech,48,4,Southern Illinois,63,Not Upset,0,Southern Illinois,4,5,63,48,15,4,5
2006,Final Four,11,George Mason,58,3,Florida,73,Not Upset,0,Florida,3,11,73,58,15,3,11
2006,First Round,5,Pittsburgh,79,12,Kent State,64,Not Upset,0,Pittsburgh,5,12,79,64,15,5,12
2004,First Round,5,Florida,60,12,Manhattan,75,Upset,1,Manhattan,12,5,75,60,15,5,12
2004,Play-In,16,Florida A&M,72,16,Lehigh,57,Not Upset,0,Florida A&M,16,16,72,57,15,16,16
2004,Second Round,12,Pacific,63,4,Kansas,78,Not Upset,0,Kansas,4,12,78,63,15,4,12
2003,First Round,7,Michigan State,79,10,Colorado,64,Not Upset,0,Michigan State,7,10,79,64,15,7,10
2002,First Round,4,Kentucky,83,13,Valparaiso,68,Not Upset,0,Kentucky,4,13,83,68,15,4,13
2011,First Round,6,St. John's,71,11,Gonzaga,86,Upset,1,Gonzaga,11,6,86,71,15,6,11
2002,First Round,1,Maryland,85,16,Siena,70,Not Upset,0,Maryland,1,16,85,70,15,1,16
2001,Sweet 16,1,Michigan State,77,12,Gonzaga,62,Not Upset,0,Michigan State,1,12,77,62,15,1,12
2001,First Round,6,Southern California,69,11,Oklahoma State,54,Not Upset,0,Southern California,6,11,69,54,15,6,11
2000,First Round,3,Maryland,74,14,Iona,59,Not Upset,0,Maryland,3,14,74,59,15,3,14
1993,Second Round,6,Virginia,71,3,Massachusetts,56,Upset,1,Virginia,6,3,71,56,15,3,6
1999,Sweet 16,3,Kentucky,58,10,Miami (Ohio),43,Not Upset,0,Kentucky,3,10,58,43,15,3,10
1998,First Round,8,Charlotte,77,9,Illinois-Chicago,62,Not Upset,0,Charlotte,8,9,77,62,15,8,9
2018,First Round,2,Purdue,74,15,Cal State Fullerton,48,Not Upset,0,Purdue,2,15,74,48,26,2,15
1998,First Round,2,Kentucky,82,15,South Carolina State,67,Not Upset,0,Kentucky,2,15,82,67,15,2,15
1998,Sweet 16,1,North Carolina,73,4,Michigan State,58,Not Upset,0,North Carolina,1,4,73,58,15,1,4
1998,First Round,8,Oklahoma State,74,9,George Washington,59,Not Upset,0,Oklahoma State,8,9,74,59,15,8,9
1998,Second Round,11,Washington,81,14,Richmond,66,Not Upset,0,Washington,11,14,81,66,15,11,14
1997,Sweet 16,1,Kentucky,83,4,St. Joseph's,68,Not Upset,0,Kentucky,1,4,83,68,15,1,4
1997,Sweet 16,6,Louisville,78,10,Texas,63,Not Upset,0,Louisville,6,10,78,63,15,6,10
2004,Second Round,7,Xavier,89,2,Mississippi State,74,Upset,1,Xavier,7,2,89,74,15,2,7
1995,First Round,5,Arizona State,81,12,Ball State,66,Not Upset,0,Arizona State,5,12,81,66,15,5,12
1994,First Round,1,Arkansas,94,16,North Carolina A&T,79,Not Upset,0,Arkansas,1,16,94,79,15,1,16
2019,First Round,8,Virginia Commonwealth,58,9,Central Florida,73,Upset,1,Central Florida,9,8,73,58,15,8,9
1993,Second Round,5,Oklahoma State,63,4,Louisville,78,Not Upset,0,Louisville,4,5,78,63,15,4,5
1992,First Round,6,Georgetown,75,11,South Florida,60,Not Upset,0,Georgetown,6,11,75,60,15,6,11
1991,Second Round,7,Iowa,70,2,Duke,85,Not Upset,0,Duke,2,7,85,70,15,2,7
1991,Second Round,1,North Carolina,84,9,Villanova,69,Not Upset,0,North Carolina,1,9,84,69,15,1,9
1989,Second Round,10,Colorado State,50,2,Syracuse,65,Not Upset,0,Syracuse,2,10,65,50,15,2,10
1989,Second Round,12,DePaul,70,4,UNLV,85,Not Upset,0,UNLV,4,12,85,70,15,4,12
1989,First Round,5,North Carolina State,81,12,South Carolina,66,Not Upset,0,North Carolina State,5,12,81,66,15,5,12
1988,First Round,8,Baylor,60,9,Memphis,75,Upset,1,Memphis,9,8,75,60,15,8,9
1987,First Round,8,Navy,82,9,Michigan,97,Upset,1,Michigan,9,8,97,82,15,8,9
2018,Sweet 16,9,Florida State,75,4,Gonzaga,60,Upset,1,Florida State,9,4,75,60,15,4,9
1988,First Round,2,Kentucky,99,15,Southern,84,Not Upset,0,Kentucky,2,15,99,84,15,2,15
1990,First Round,2,Purdue,75,15,Louisiana-Monroe,63,Not Upset,0,Purdue,2,15,75,63,12,2,15
1988,Second Round,7,Southern Methodist,79,2,Duke,94,Not Upset,0,Duke,2,7,94,79,15,2,7
1986,First Round,2,Georgia Tech,68,15,Marist,53,Not Upset,0,Georgia Tech,2,15,68,53,15,2,15
1986,Sweet 16,3,North Carolina,79,2,Louisville,94,Not Upset,0,Louisville,2,3,94,79,15,2,3
2017,Elite Eight,1,Kansas,60,3,Oregon,74,Upset,1,Oregon,3,1,74,60,14,1,3
2019,Sweet 16,1,Gonzaga,72,4,Florida State,58,Not Upset,0,Gonzaga,1,4,72,58,14,1,4
2019,First Round,4,Virginia Tech,66,13,St. Louis,52,Not Upset,0,Virginia Tech,4,13,66,52,14,4,13
2018,First Round,3,Michigan,61,14,Montana,47,Not Upset,0,Michigan,3,14,61,47,14,3,14
2005,Sweet 16,1,Washington,79,4,Louisville,93,Upset,1,Louisville,4,1,93,79,14,1,4
2017,First Round,6,Cincinnati,75,11,Kansas State,61,Not Upset,0,Cincinnati,6,11,75,61,14,6,11
2003,Elite Eight,1,Kentucky,69,3,Marquette,83,Upset,1,Marquette,3,1,83,69,14,1,3
2001,Elite Eight,1,Stanford,73,3,Maryland,87,Upset,1,Maryland,3,1,87,73,14,1,3
2016,Elite Eight,1,North Carolina,88,6,Notre Dame,74,Not Upset,0,North Carolina,1,6,88,74,14,1,6
2016,First Round,2,Oklahoma,82,15,Cal State Bakersfield,68,Not Upset,0,Oklahoma,2,15,82,68,14,2,15
2016,Sweet 16,1,Oregon,82,4,Duke,68,Not Upset,0,Oregon,1,4,82,68,14,1,4
2016,Sweet 16,3,Texas A&M,63,2,Oklahoma,77,Not Upset,0,Oklahoma,2,3,77,63,14,2,3
2015,Elite Eight,1,Duke,66,2,Gonzaga,52,Not Upset,0,Duke,1,2,66,52,14,1,2
2015,First Round,1,Wisconsin,86,16,Coastal Carolina,72,Not Upset,0,Wisconsin,1,16,86,72,14,1,16
2014,First Round,6,Baylor,74,11,Nebraska,60,Not Upset,0,Baylor,6,11,74,60,14,6,11
2014,Second Round,7,Texas,65,2,Michigan,79,Not Upset,0,Michigan,2,7,79,65,14,2,7
2013,Second Round,11,Minnesota,64,3,Florida,78,Not Upset,0,Florida,3,11,78,64,14,3,11
2016,First Round,3,West Virginia,56,14,Stephen F. Austin,70,Upset,1,Stephen F. Austin,14,3,70,56,14,3,14
2010,First Round,3,Georgetown,83,14,Ohio,97,Upset,1,Ohio,14,3,97,83,14,3,14
2013,Sweet 16,9,Wichita State,72,13,La Salle,58,Not Upset,0,Wichita State,9,13,72,58,14,9,13
2012,Second Round,1,North Carolina,87,8,Creighton,73,Not Upset,0,North Carolina,1,8,87,73,14,1,8
1999,Sweet 16,3,St. John's,76,2,Maryland,62,Upset,1,St. John's,3,2,76,62,14,2,3
2011,Second Round,1,Kansas,73,9,Illinois,59,Not Upset,0,Kansas,1,9,73,59,14,1,9
2011,First Round,4,Wisconsin,72,13,Belmont,58,Not Upset,0,Wisconsin,4,13,72,58,14,4,13
2009,Second Round,12,Arizona,71,13,Cleveland State,57,Not Upset,0,Arizona,12,13,71,57,14,12,13
1995,Elite Eight,4,Oklahoma State,68,2,Massachusetts,54,Upset,1,Oklahoma State,4,2,68,54,14,2,4
2009,Second Round,1,North Carolina,84,8,LSU,70,Not Upset,0,North Carolina,1,8,84,70,14,1,8
1989,First Round,4,Florida State,83,13,Middle Tennessee State,97,Upset,1,Middle Tennessee State,13,4,97,83,14,4,13
2009,First Round,7,Texas,76,10,Minnesota,62,Not Upset,0,Texas,7,10,76,62,14,7,10
2009,Final Four,3,Villanova,69,1,North Carolina,83,Not Upset,0,North Carolina,1,3,83,69,14,1,3
2019,Second Round,5,Auburn,89,4,Kansas,75,Upset,1,Auburn,5,4,89,75,14,4,5
2008,First Round,7,Miami (Fla.),78,10,St. Mary's (Cal.),64,Not Upset,0,Miami (Fla.),7,10,78,64,14,7,10
2012,First Round,5,Temple,44,12,South Florida,58,Upset,1,South Florida,12,5,58,44,14,5,12
2007,Second Round,1,North Carolina,81,9,Michigan State,67,Not Upset,0,North Carolina,1,9,81,67,14,1,9
2007,Second Round,11,Winthrop,61,3,Oregon,75,Not Upset,0,Oregon,3,11,75,61,14,3,11
2006,Final Four,4,LSU,45,2,UCLA,59,Not Upset,0,UCLA,2,4,59,45,14,2,4
2006,First Round,5,Washington,75,12,Utah State,61,Not Upset,0,Washington,5,12,75,61,14,5,12
2005,Sweet 16,1,Illinois,77,12,Milwaukee,63,Not Upset,0,Illinois,1,12,77,63,14,1,12
1995,Second Round,5,Mississippi State,78,4,Utah,64,Upset,1,Mississippi State,5,4,78,64,14,4,5
1993,First Round,5,New Mexico,68,12,George Washington,82,Upset,1,George Washington,12,5,82,68,14,5,12
2003,First Round,6,Oklahoma State,77,11,Penn,63,Not Upset,0,Oklahoma State,6,11,77,63,14,6,11
2003,First Round,3,Syracuse,77,14,Manhattan,63,Not Upset,0,Syracuse,3,14,77,63,14,3,14
2012,First Round,6,San Diego State,65,11,North Carolina State,79,Upset,1,North Carolina State,11,6,79,65,14,6,11
2005,First Round,6,LSU,68,11,Alabama-Birmingham,82,Upset,1,Alabama-Birmingham,11,6,82,68,14,6,11
2001,First Round,6,Texas,65,11,Temple,79,Upset,1,Temple,11,6,79,65,14,6,11
2000,First Round,8,North Carolina,84,9,Missouri,70,Not Upset,0,North Carolina,8,9,84,70,14,8,9
2000,First Round,3,Oklahoma,74,14,Winthrop,60,Not Upset,0,Oklahoma,3,14,74,60,14,3,14
2000,First Round,4,Syracuse,79,13,Samford,65,Not Upset,0,Syracuse,4,13,79,65,14,4,13
2000,First Round,6,UCLA,79,11,Ball State,65,Not Upset,0,UCLA,6,11,79,65,14,6,11
1999,First Round,4,Arkansas,94,13,Siena,80,Not Upset,0,Arkansas,4,13,94,80,14,4,13
1999,First Round,6,Florida,75,11,Penn,61,Not Upset,0,Florida,6,11,75,61,14,6,11
1999,First Round,4,Ohio State,72,13,Murray St.,58,Not Upset,0,Ohio State,4,13,72,58,14,4,13
1998,First Round,4,Maryland,82,13,Utah State,68,Not Upset,0,Maryland,4,13,82,68,14,4,13
1997,Second Round,1,Kansas,75,8,Purdue,61,Not Upset,0,Kansas,1,8,75,61,14,1,8
1997,First Round,1,Kansas,78,16,Jackson State,64,Not Upset,0,Kansas,1,16,78,64,14,1,16
1997,First Round,2,Utah,75,15,Navy,61,Not Upset,0,Utah,2,15,75,61,14,2,15
1996,Second Round,11,Boston College,89,3,Georgia Tech,103,Not Upset,0,Georgia Tech,3,11,103,89,14,3,11
1996,Second Round,1,Connecticut,95,9,Eastern Michigan,81,Not Upset,0,Connecticut,1,9,95,81,14,1,9
1996,Second Round,6,Iowa,73,3,Arizona,87,Not Upset,0,Arizona,3,6,87,73,14,3,6
1995,Second Round,5,Alabama,52,4,Oklahoma State,66,Not Upset,0,Oklahoma State,4,5,66,52,14,4,5
1995,First Round,1,Kansas,82,16,Colgate,68,Not Upset,0,Kansas,1,16,82,68,14,1,16
1995,Second Round,11,Texas,68,3,Maryland,82,Not Upset,0,Maryland,3,11,82,68,14,3,11
1994,First Round,6,Minnesota,74,11,Southern Illinois,60,Not Upset,0,Minnesota,6,11,74,60,14,6,11
1994,First Round,6,Texas,91,11,Western Kentucky,77,Not Upset,0,Texas,6,11,91,77,14,6,11
1993,Second Round,7,Brigham Young,76,2,Kansas,90,Not Upset,0,Kansas,2,7,90,76,14,2,7
1993,First Round,7,New Mexico State,93,10,Nebraska,79,Not Upset,0,New Mexico State,7,10,93,79,14,7,10
1993,First Round,7,Temple,75,10,Missouri,61,Not Upset,0,Temple,7,10,75,61,14,7,10
1991,Sweet 16,11,Connecticut,67,2,Duke,81,Not Upset,0,Duke,2,11,81,67,14,2,11
2008,First Round,8,Indiana,72,9,Arkansas,86,Upset,1,Arkansas,9,8,86,72,14,8,9
1990,Final Four,3,Duke,97,4,Arkansas,83,Not Upset,0,Duke,3,4,97,83,14,3,4
1989,Second Round,11,Evansville,73,3,Seton Hall,87,Not Upset,0,Seton Hall,3,11,87,73,14,3,11
1989,Sweet 16,1,Illinois,83,4,Louisville,69,Not Upset,0,Illinois,1,4,83,69,14,1,4
1989,First Round,2,Indiana,99,15,George Mason,85,Not Upset,0,Indiana,2,15,99,85,14,2,15
1989,First Round,4,Iowa,87,13,Rutgers,73,Not Upset,0,Iowa,4,13,87,73,14,4,13
1989,First Round,2,North Carolina,93,15,Southern,79,Not Upset,0,North Carolina,2,15,93,79,14,2,15
1987,First Round,8,Kentucky,77,9,Ohio State,91,Upset,1,Ohio State,9,8,91,77,14,8,9
1988,First Round,3,Syracuse,69,14,North Carolina A&T,55,Not Upset,0,Syracuse,3,14,69,55,14,3,14
2011,Second Round,10,Florida State,71,2,Notre Dame,57,Upset,1,Florida State,10,2,71,57,14,2,10
1988,First Round,1,Temple,87,16,Lehigh,73,Not Upset,0,Temple,1,16,87,73,14,1,16
1987,First Round,3,DePaul,76,14,Louisiana Tech,62,Not Upset,0,DePaul,3,14,76,62,14,3,14
1987,Final Four,6,Providence,63,2,Syracuse,77,Not Upset,0,Syracuse,2,6,77,63,14,2,6
1987,Sweet 16,1,UNLV,92,12,Wyoming,78,Not Upset,0,UNLV,1,12,92,78,14,1,12
1986,Second Round,7,Bradley,68,2,Louisville,82,Not Upset,0,Louisville,2,7,82,68,14,2,7
1986,Second Round,6,North Carolina State,80,14,Arkansas-Little Rock,66,Not Upset,0,North Carolina State,6,14,80,66,14,6,14
2019,Second Round,3,Purdue,87,6,Villanova,61,Not Upset,0,Purdue,3,6,87,61,26,3,6
2012,Elite Eight,1,North Carolina,67,2,Kansas,80,Upset,1,Kansas,2,1,80,67,13,1,2
2012,Sweet 16,1,Michigan State,44,4,Louisville,57,Upset,1,Louisville,4,1,57,44,13,1,4
2007,Elite Eight,1,Kansas,55,2,UCLA,68,Upset,1,UCLA,2,1,68,55,13,1,2
2006,Elite Eight,1,Villanova,62,3,Florida,75,Upset,1,Florida,3,1,75,62,13,1,3
2016,First Round,4,Iowa State,94,13,Iona,81,Not Upset,0,Iowa State,4,13,94,81,13,4,13
2016,Second Round,5,Maryland,73,13,Hawaii,60,Not Upset,0,Maryland,5,13,73,60,13,5,13
1995,Elite Eight,1,Kentucky,61,2,North Carolina,74,Upset,1,North Carolina,2,1,74,61,13,1,2
2016,Sweet 16,1,Virginia,84,4,Iowa State,71,Not Upset,0,Virginia,1,4,84,71,13,1,4
2015,Second Round,1,Kentucky,64,8,Cincinnati,51,Not Upset,0,Kentucky,1,8,64,51,13,1,8
2015,Second Round,5,Northern Iowa,53,4,Louisville,66,Not Upset,0,Louisville,4,5,66,53,13,4,5
2014,Play-In,11,Iowa,65,11,Tennessee,78,Not Upset,0,Tennessee,11,11,78,65,13,11,11
1997,First Round,2,South Carolina,65,15,Coppin State,78,Upset,1,Coppin State,15,2,78,65,13,2,15
2013,Play-In,16,Long Island,55,16,James Madison,68,Not Upset,0,James Madison,16,16,68,55,13,16,16
2018,Sweet 16,3,Texas Tech,78,2,Purdue,65,Upset,1,Texas Tech,3,2,78,65,13,2,3
2013,Play-In,11,Middle Tennessee State,54,11,St. Mary's (Cal.),67,Not Upset,0,St. Mary's (Cal.),11,11,67,54,13,11,11
2012,First Round,4,Indiana,79,13,New Mexico State,66,Not Upset,0,Indiana,4,13,79,66,13,4,13
2012,First Round,8,Iowa State,77,9,Connecticut,64,Not Upset,0,Iowa State,8,9,77,64,13,8,9
1989,Sweet 16,3,Seton Hall,78,2,Indiana,65,Upset,1,Seton Hall,3,2,78,65,13,2,3
2011,First Round,2,Notre Dame,69,15,Akron,56,Not Upset,0,Notre Dame,2,15,69,56,13,2,15
2011,Play-In,11,Southern California,46,11,Virginia Commonwealth,59,Not Upset,0,Virginia Commonwealth,11,11,59,46,13,11,11
2010,Sweet 16,1,Duke,70,4,Purdue,57,Not Upset,0,Duke,1,4,70,57,13,1,4
2003,First Round,4,Dayton,71,13,Tulsa,84,Upset,1,Tulsa,13,4,84,71,13,4,13
2010,Sweet 16,11,Washington,56,2,West Virginia,69,Not Upset,0,West Virginia,2,11,69,56,13,2,11
2009,First Round,4,Gonzaga,77,13,Akron,64,Not Upset,0,Gonzaga,4,13,77,64,13,4,13
1988,Elite Eight,4,Kansas State,58,6,Kansas,71,Upset,1,Kansas,6,4,71,58,13,4,6
