YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
1989,First Round,6,Alabama,84,11,South Alabama,86,Upset,1,South Alabama,11,6,86,84,2,6,11
1985,First Round,6,Texas Tech,53,11,Boston College,55,Upset,1,Boston College,11,6,55,53,2,6,11
2018,Second Round,7,Nevada,75,2,Cincinnati,73,Upset,1,Nevada,7,2,75,73,2,2,7
1998,Elite Eight,8,Rhode Island,77,3,Stanford,79,Not Upset,0,Stanford,3,8,79,77,2,3,8
1998,First Round,5,Syracuse,63,12,Iona,61,Not Upset,0,Syracuse,5,12,63,61,2,5,12
1996,Sweet 16,8,Georgia,81,4,Syracuse,83,Not Upset,0,Syracuse,4,8,83,81,2,4,8
1996,First Round,6,Iowa,81,11,George Washington,79,Not Upset,0,Iowa,6,11,81,79,2,6,11
1996,First Round,6,Louisville,82,11,Tulsa,80,Not Upset,0,Louisville,6,11,82,80,2,6,11
2003,First Round,7,St. Joseph's,63,10,Auburn,65,Upset,1,Auburn,10,7,65,63,2,7,10
1998,Second Round,10,Detroit,65,2,Purdue,80,Not Upset,0,Purdue,2,10,80,65,15,2,10
2001,First Round,7,Arkansas,61,10,Georgetown,63,Upset,1,Georgetown,10,7,63,61,2,7,10
1995,Second Round,6,Georgetown,53,14,Weber State,51,Not Upset,0,Georgetown,6,14,53,51,2,6,14
1998,First Round,7,St. John's,64,10,Detroit,66,Upset,1,Detroit,10,7,66,64,2,7,10
1995,Second Round,7,Syracuse,94,2,Arkansas,96,Not Upset,0,Arkansas,2,7,96,94,2,2,7
1995,First Round,7,Charlotte,68,10,Stanford,70,Upset,1,Stanford,10,7,70,68,2,7,10
1994,First Round,3,Florida,64,14,James Madison,62,Not Upset,0,Florida,3,14,64,62,2,3,14
1992,First Round,7,Charlotte,74,10,Iowa State,76,Upset,1,Iowa State,10,7,76,74,2,7,10
1987,First Round,7,West Virginia,62,10,Western Kentucky,64,Upset,1,Western Kentucky,10,7,64,62,2,7,10
1993,First Round,6,California,66,11,LSU,64,Not Upset,0,California,6,11,66,64,2,6,11
1993,Second Round,1,Michigan,86,9,UCLA,84,Not Upset,0,Michigan,1,9,86,84,2,1,9
1992,First Round,4,Seton Hall,78,13,La Salle,76,Not Upset,0,Seton Hall,4,13,78,76,2,4,13
2009,First Round,8,Ohio State,72,9,Siena,74,Upset,1,Siena,9,8,74,72,2,8,9
1992,Sweet 16,9,UTEP,67,4,Cincinnati,69,Not Upset,0,Cincinnati,4,9,69,67,2,4,9
1991,First Round,5,Michigan State,60,12,Green Bay,58,Not Upset,0,Michigan State,5,12,60,58,2,5,12
2007,First Round,8,Brigham Young,77,9,Xavier,79,Upset,1,Xavier,9,8,79,77,2,8,9
2004,First Round,8,Washington,100,9,Alabama-Birmingham,102,Upset,1,Alabama-Birmingham,9,8,102,100,2,8,9
2003,First Round,8,Oregon,58,9,Utah,60,Upset,1,Utah,9,8,60,58,2,8,9
2001,First Round,8,Georgia,68,9,Missouri,70,Upset,1,Missouri,9,8,70,68,2,8,9
1990,First Round,5,Clemson,49,12,Brigham Young,47,Not Upset,0,Clemson,5,12,49,47,2,5,12
1990,Second Round,12,Dayton,84,4,Arkansas,86,Not Upset,0,Arkansas,4,12,86,84,2,4,12
1990,Elite Eight,4,Georgia Tech,93,6,Minnesota,91,Not Upset,0,Georgia Tech,4,6,93,91,2,4,6
1999,First Round,8,Missouri,59,9,New Mexico,61,Upset,1,New Mexico,9,8,61,59,2,8,9
1999,First Round,8,Villanova,70,9,Mississippi,72,Upset,1,Mississippi,9,8,72,70,2,8,9
1990,Sweet 16,1,UNLV,69,12,Ball State,67,Not Upset,0,UNLV,1,12,69,67,2,1,12
1990,Second Round,7,Virginia,61,2,Syracuse,63,Not Upset,0,Syracuse,2,7,63,61,2,2,7
1991,First Round,8,Princeton,48,9,Villanova,50,Upset,1,Villanova,9,8,50,48,2,8,9
1990,First Round,8,Indiana,63,9,California,65,Upset,1,California,9,8,65,63,2,8,9
2000,Second Round,10,Seton Hall,67,2,Temple,65,Upset,1,Seton Hall,10,2,67,65,2,2,10
1987,Sweet 16,6,Oklahoma,91,2,Iowa,93,Not Upset,0,Iowa,2,6,93,91,2,2,6
2018,Second Round,11,Syracuse,55,3,Michigan State,53,Upset,1,Syracuse,11,3,55,53,2,3,11
1987,First Round,6,St. John's,57,11,Wichita State,55,Not Upset,0,St. John's,6,11,57,55,2,6,11
1987,Second Round,7,UTEP,82,2,Iowa,84,Not Upset,0,Iowa,2,7,84,82,2,2,7
